@relation cofacts-2-categories_above100
@attribute Text string
@attribute class-att {RUMOR,NOT_RUMOR}

@data
'第一手 資料 嘗試 First hand information no harm to try 親愛 朋友 Dear friends 醫生 感染 新 冠狀病毒 中 迅速 康復 吸入 熱水 蒸氣 Our Doctor who recovered from Corona illness and recovered in double quick time had inhaled Steam 現時 治療 中心 醫生 已 持續 每天 吸入 熱水 蒸氣 The doctors at IDH Corona centre too are continually inhaling steam 熱水 蒸氣 肺部 喉嚨 口腔 溫度 上升 會令 存在 那裏 病毒 失去 活動 能力 Steaming raises the temperature of lungs throat and mouth so that if the virus is already there it gets inactivate due to high temperature 病毒 停留 喉嚨 事實 Yes that s true as viruses sit in the throat first 有人 辦公室 打噴嚏 當你 回家 後 吸入 熱水 蒸氣 暖水 加鹽 漱口 感染 感冒 That s why even if there is someone sneezing in your office and you come home and inhale and gargle with warm water and salt usually you will not get the flu 建議 任何人 做 I recommend for everyone who is able to do it 早晚 吸入 熱水 蒸氣 Use steam inhalation everyday morning and evening if possible 早晚 暖水 加鹽 漱口 Gargle with warm water and salt daily morning and evening if possible 這將會 一個 每日 好 習慣 改善 整個 人 體質 疫情 過後 繼續 持續 This is a good daily practice which will improve your overall well being and can continue even after COVID19 ends 好處 著想 請將 資訊 轉發給 親人 Please also pass this information for the benefit of others',RUMOR
'第一手 資料 嘗試 First hand information no harm to try 親愛 朋友 Dear friends 醫生 感染 新 冠狀病毒 中 迅速 康復 吸入 熱水 蒸氣 Our Doctor who recovered from Corona illness and recovered in double quick time had inhaled Steam 現時 治療 中心 醫生 已 持續 每天 吸入 熱水 蒸氣 The doctors at IDH Corona centre too are continually inhaling steam 熱水 蒸氣 肺部 喉嚨 口腔 溫度 上升 會令 存在 那裏 病毒 失去 活動 能力 Steaming raises the temperature of lungs throat and mouth so that if the virus is already there it gets inactivate due to high temperature 病毒 停留 喉嚨 事實 Yes that s true as viruses sit in the throat first 有人 辦公室 打噴嚏 當你 回家 後 吸入 熱水 蒸氣 暖水 加鹽 漱口 感染 感冒 That s why even if there is someone sneezing in your office and you come home and inhale and gargle with warm water and salt usually you will not get the flu 建議 任何人 做 I recommend for everyone who is able to do it 早晚 吸入 熱水 蒸氣 Use steam inhalation everyday morning and evening if possible 早晚 暖水 加鹽 漱口 Gargle with warm water and salt daily morning and evening if possible 這將會 一個 每日 好 習慣 改善 整個 人 體質 疫情 過後 繼續 持續 This is a good daily practice which will improve your overall well being and can continue even after COVID19 ends 好處 著想 請將 資訊 轉發給 親人 Please also pass this information for the benefit of others',RUMOR
'許川正 飲料廠 送貨 司機 憑良心 提出 告誡 喝 臭臭 鍋 小火鍋 牛排 店 吃 夜市 ⋯ ⋯ 飲料 楊桃汁 冬瓜茶 芒果汁 蘋果汁 吃 冰 果醬 芒果 醬 草莓醬 百香果 醬 ⋯ ⋯ 他當 司機 送貨 進 廠房 工廠 守衛 3O 年 曝料 看一 卡車 卡車 飲料 載出 工廠 從沒 看過 楊桃 蘋果 香蕉 芒果 草莓 木瓜 水果 進 工廠 化學原料 香精 合成 製作 香精 摻入 味道 杏仁 粉 超 恐怖 現在 大腸癌 胃癌 一大堆 ⋯ ⋯ 轉發 告訴 周遭 人 飲品 碰 千萬別 免錢 喝到 貪小便宜 傷害 健康 生命 信息 一定 告知 公主 少爺 亲朋好友 小孩 太 可怕',RUMOR
'自來水 公司 強烈呼籲 請 廣大 市民 往自 家 馬桶 水箱 裡 放 藍色 潔 廁塊 害人害己 潔廁 塊 只 適合 國外 有雙 供水系統 樓房 國內 供水系統 知道 停水 水壓 低 馬桶 儲 水箱 裡的 水會 倒流 回 自來水管 道裡 原因 我國 大部分 主品門 分品門 單向 止 逆 兒 負壓 作用 下 馬桶 裡的 藍色 塊 是強 致癌 化 學物 污染 馬桶 裡的 水會 反 流進 自來水 系統 當水 壓 正常 自動 每戶 供水 時 無辜 老百姓 飲 引起 癌症 白血病 嚴重 內臟 過敏 至死 疾病 幾十種 呼籲 立即 停止 這種 自殺 行為 建議 家 水箱 加 白醋 除異味 這種 事情 需要 努力 傳播 贊 請 傳播 群 發 群 人 知道',RUMOR
'養魚 好處 專家 研究 賞魚 10 分鐘 抗 高血壓 又治 癡呆 瀏覽 人次 42845 撰文 Hello 醫師 標籤 Hello 醫師 健康 新知 精神疾病 壓力 高血壓 睡眠 失智症',RUMOR
'转 现在 第五版 新冠 诊治 方案 传染源 原来 空气 传播 取消 改为 飞沫 气溶胶 接触 关健 在于 气溶胶 布朗运动 特性 能够 长时间 漂浮 空中 流行病学 意义 在于 易 感染者 未 与 患病者 见面 情况 下 因为 吸入 悬浮 空气 中 含有 病毒 气溶胶 微粒 感染 这 解释 为什么 公园 无人 空气 好 原因 因为 空气 虽好 疫情 未控 传染源 还 空气 中含 毒氣 溶胶 长时间 漂浮 出门 必须 戴 口罩 宅 家里 最 安全 记住 新名词 气溶胶 传播 飘逸 距离 远',RUMOR
'英國 太陽報 報導 一位 名叫 李德 Connor Reed 英國 籍 25 歲 男子 宣稱 接受 抗生素 治療 前提 下 威士忌 加 蜂蜜 加熱 水 這款 古老 威士忌 熱 調酒 Hot Toddy 成功 治癒 武漢 肺炎 消息 一出 Hot Toddy 立即 成為 熱搜 飲品 Hot Toddy 有沒有 神奇 熟悉 威士忌 老朋友 知道 17 世紀 時 西方 民間 一直 認為 威士忌 治療 感冒 良藥 知名 威士忌 熱 調酒 Hot Toddy 視為 禦寒 暖身 最佳 飲品 蘇格蘭人 小心 傷風感冒 家裡 長輩 就會 調上 一杯 Hot Toddy 讓你在 晚上 睡前 喝 下 一夜 好眠 之際 傷風感冒 大半 Hot Toddy 做 做法 簡單 先將 45 毫升 威士忌 15 毫升 檸檬汁 30 毫升 熱水 攪拌 混合 之後 再 喜好 加入適量 蜂蜜 大功告成',RUMOR
'以下 新型 冠状病毒 肺炎 症状 It will first infect the throat so the throat will have the dry sore throat feeling which will last for to days 开始 病毒 会 感染 喉咙 喉咙 会 觉得 干 这种 感觉 大约 持续 天 Then the virus will blend into the nasal fluid and drips into the trachea and enter the lungs causing pneumonia This process will take to days 然后 病毒 会 侵入 鼻液 再 流入 气管 最后 进入 肺部 导致 肺炎 这个 过程 大约 持续 天 With pneumonia comes high fever and difficulty in breathing The nasal congestion is not like the normal kind You will feel like you are drowning in water It s important to go seek immediate medical attention if you feel like this 这个 肺炎 表现 高烧 呼吸困难 鼻腔 堵塞 感觉 普通 感冒 不太 一样 会 觉得 一种 溺水 无法 呼吸 感觉 发生 这种 状况 的话 请 及时 就医 About prevention 关于 预防 The most common way of getting infected is by touching things in public so you must wash your hands frequently The virus can only live on your hands for 10 mins but a lot can happen in those 10 mins you can rub your eyes or pick your nose unwittingly 通常 最有 感染 方式 公共场合 触摸 带有 病毒 物体 记得 勤洗手 病毒 手上 只会 存活 10 分钟 不过 短短的 10 分钟 十分 警惕 用手 揉 眼睛 自觉 抠 鼻子 😄 Aside from washing your hands frequently you can gargle with Betadine Sore Throat Gargle to eliminate or minimize the germs while they are still in your throat before dripping down to your lungs 勤洗手 之外 还 漱口水 漱口 这样 杀死 减少 存留 喉咙 里 病菌 防止 落入 肺部 引起 肺炎 Take extra care and drink plenty of water 请 一定 多加 小心 记得 多喝水 Please copy paste and repost 请 复制 粘贴 并 转发',RUMOR
'世卫 组织 刚刚 修改 规则 冠状病毒 证实 空气 传播 空气 中 存活 个 小时 要求 每个 人 地方 戴 口罩 爆炸性 消息 冠状病毒 证实 通过 空气 传播 冠状病毒 铜 钢 金属表面 存活 个 小时 纸 塑料 存活 小时 空气 中 根据 具体情况 存活 小时 长时间 世卫 组织 更正 他们 早期 认为 冠状病毒 不会 空气 传播 观点 请 空调 公共场所 尤其 小 密闭 房间',RUMOR
'世卫 组织 刚刚 修改 规则 冠状病毒 证实 空气 传播 空气 中 存活 个 小时 要求 每个 人 地方 戴 口罩 爆炸性 消息 冠状病毒 证实 通过 空气 传播 冠状病毒 铜 钢 金属表面 存活 个 小时 纸 塑料 存活 小时 空气 中 根据 具体情况 存活 小时 长时间 世卫 组织 更正 他们 早期 认为 冠状病毒 不会 空气 传播 观点 请 空调 公共场所 尤其 小 密闭 房间',RUMOR
'日本 女性 子宮 肌瘤 醫生 開藥 治療 建議 回去 換 洗髮精 沐浴乳 半年 再來 複查 病情 減至 一半 以上 清潔用品 裡 太多 化學物質 皮膚 人 最大 器官 經由 皮膚 吸收 化學 藥劑 醫學 名詞 經皮毒 經皮毒 東西 使用 40 分鐘 後 直接 抵達 子宮 內臟 接觸 皮膚 用品 請 選擇 天然 環保 ♻ ️ 安全 重要 遠離 石化 產品 危害 ‼ ️ 日本 經皮毒 報導 https youtu be z6mJcFEurUM 傳給 太太 女性 友人 浴室 洗澡 浴室 清潔 香味 半個 小時 後 久久 散 勸 最好 換掉',RUMOR
'飲食 方面 請 早上 八點 前 吃 完 豐盛 早餐 中午 十二點 前 吃 完 營養 午餐 晚上 五點 前 吃 完 止 餓 素菜 晚餐 胰島素 🕗 早上 八點 🕛 中午 十二點 🕔 黃昏 五點 準時 分泌 有沒有 吃飯 胰臟 分泌 三次 胰島素 早上 十點 吃 早餐 中午 兩點 吃 午餐 晚上 七點 吃 晚餐 胰臟 就要 加班 三次 胰臟 每天 加班 提早 退休 歲 以後 得到 糖尿病 機會 大大的 增加 喔',RUMOR
'好消息 分享 身體 健康 尤其 癌症 患者 福音 醫生 推薦 身體 變為 鹼性 體質 每天 喝 菱角 水 吃 綠藻 息肉 消除 亦可 排毒 效果 好 喔 請 告訴 一起 分享 感恩',RUMOR
'應該 一天 吃 兩顆 蛋 降低 罹癌 風險 雞蛋 富含 氨基酸 礦物質 維生素 最 平實 抗癌 營養食品 延緩 老化 過程 黃色 有機 色素 有類 胡蘿蔔素 抗氧化劑 延緩 老化 過程 減重 飲食 雞蛋 屬低 升糖 食物 取代 部分 主食 調整 飲食 時 減肥 聖品 皮膚 頭髮 生物素 維他命 B12 蛋白質 皮膚 頭髮 健康 生長 重要 成分 降低 心血管 疾病 風險 雞蛋 富含 Omega 脂肪酸 有益 眼睛 健康 維他命 葉黃素 玉米 黃 質 保護 眼睛 免受 自由基 影響 幫助 顏色 辨認 夜間 視力 降低 出生 缺陷 風險 維他命 B9 葉酸 有助 胎兒 發展 吸收 不足 影響 中樞神經 系統 骨骼 健康 維他命 D 鈣 人體 骨骼 牙齒 健康 重要 保護 大腦 大腦 中樞神經 系統 需要 膽鹼 促進 新陳代謝 分享 資訊 朋友 一起 腸保 健康',RUMOR
'春天 第一 補 曬 春陽 ☀ 俗話說 春天 百草 回芽 百病 複 發 出現 百病 複 發 情況 這是 此時 自然界 陽氣 勃發 陽氣 充足 衝擊 體內 病灶 將病 邪 趕出 體外 陽氣 不足 陽氣 受到 壓抑 病徵 捲土重來 一個 好 辦法 養陽 百毒 曬 春陽 春陽 曬 兩個 要點 第一個 曬 背 第二個 曬 頭頂 人 背部 皮下 蘊藏 大量 免疫 細胞 曬太陽 激活 免疫 細胞 達到 疏通 經絡 流暢 氣血 調和 臟腑 祛寒 止痛 目的 人 頭頂 百會穴 曬 春陽 時 摘下 帽子 陽光 頂 百會穴 進入 人體 有助 通暢 百脈 調補 陽氣 曬 背 曬 百會 結合 效果 最好 百毒',RUMOR
'以同 吃 不宜 吃 吃 海鮮 後 再 喝牛奶 牛奶 中含 維生素 C 海鮮 喝牛奶 一起 服用 人體 造成 一定 傷害 還會 出現 拉肚子 現象 吃 蝦 服用 牛奶 導致 砷中毒 相當於 服用 砒霜 吃 海鮮 後 最好 喝牛奶 喝 溫開水',RUMOR
'聽聽 這位 中醫 分享 這位 中醫 武漢 10 天 感染 冠狀病毒 天 晚上 高燒 退 渾身 發冷 沒勁 突然 想起 一位 老師 曾經 羣 裏 說過 一個 偏方 大蒜 作用 八頭 大蒜 拍碎 再 紙杯 杯水 煮 分鐘 喝 每天 連續 喝 只 好 爲止 效果 這位 中醫 方法 已經 推薦 武漢 患者 新疆 患者 現在 反饋 信息 說 不錯 強 有人 感染 驚慌失措 速去 採取 方法 越早 使用 控制 病毒 效果 好 感謝 這位 大愛的 中醫 🙏 🙏 🙏',RUMOR
'好 下 龔 醫師 台灣 美國 接受 當代 醫學 嚴謹 訓練 薰陶 行醫 己然 四十餘年 最近 肺炎 病毒 🦠 造成 關注 這件 事情 淺談 一下 病毒 病毒 細菌 差別 簡單 地先 說 清楚 細菌 一個 獨立 生活 生物 個體 身體 普通 細胞 大小 差 有限 光學 顯微鏡 看到 體內 細菌 使 生病 研發 使用 藥物 攻擊 消滅 細菌 病毒 🦠 不同於 細菌 細小 細胞 細菌 千分之一 小 小 電子顯微鏡 找 得到 病毒 小 一個 完整 生物 個體 RNA 分子 無法 自理 生活 生存 躦 進到 細胞 裡面 寄生 藥物 無法 直接 接觸 病毒 目前 還不 容易 特效藥 治療 殺死 病毒 🦠 細胞 病毒 同歸於盡 一起 死 第二個 方法 病毒 細胞 裡面 趕出來 將之 排出 身體 保住 細胞 課題 病毒 細胞 裡面 趕出來 目前 為止 一個 好 方法 體內 荷爾蒙 執行 趨趕 任務 營養 均衡 心情 重要 每天 盡量 曬 半個 小時 以上 太陽 自然 太陽 光波 透過 眼睛 👀 左右 兩條 視神經 腦內 傳導 交叉 腦部 中央 視神經 交叉 正下方 一個 馬鞍 凹陷 藏 腦垂體 這是 荷爾蒙 司令部 適當 陽光 光波 刺激 腦垂體 摧 上班 工作 找出 身體 何種 狀況 下 指令 派出 適當 荷爾 解決問題 病毒 細胞 趕出來 任務 排出來 病毒 排洩 系統 傳到 大腸 裡面 糞便 排出 身體 每天 順利 排便 重要 最後 重點 重複 一遍 特殊 情況 最要 依賴 身體 請吃 顏色 蔬菜 🥬 維他命 來源 喝 溫熱 水 病毒 怕熱 足夠 充足 睡眠 每天 至少 曬 半個 小時 以上 太陽 🌞 做體 操練 氣功 保持 平靜 樂觀 打座 般的 心情 宗教信仰 每天 家人 眾生 禱告 求求 佛祖 敬畏 上帝 天主 禮拜 真神阿拉 誠意 正 心 這也 好 老天 會保 祐 正直 善良 好人 住 同一個 地球村 裡 不分彼此 願 所有人 能夠 平安 健康 快樂',RUMOR
'red arrow right red arrow right 請 完 知道 這種 嚴重 誤導 許多 影片 三不五時 出現 亂來 受 影片 影響 人 酒精 消毒 有所 疑慮 這也 防疫 篇 特別 寫 最後 一段 原因 所學 實務 經驗 PP 酒精 百分之百 相容 酒精 PP 這種 材質 影響 傷害 證寶我 想法 做 整套 實驗 三付 口罩 分別 做 口罩 噴上 酒精 倒水 水 透過去 清水 先 酒精 混合 倒入 口罩 水 透過去 直接 酒精 倒入 口罩 酒精 透過去 以上 所有 坊間 影片 呈現 畫面 外行人 下 定論 口罩 使用 酒精 消毒 做 實驗 下 半段 三付 口罩 晾乾 隔天 再 倒水 測試 三付 口罩 撥 水層 撥水 功能 絲毫無損 做 實驗 印證 所說 事實上 清水 表面張力 酒精 改變 撥 水層 真的 破壞 酒精 完全 揮發 後 恢復 撥水 功能 做 實驗 想 告訴 知識 事情 懂 懂 之間 真的 差 很大 拍 影片 人還 真是 懂 red circle 總結 酒精 口罩 最好 消毒劑 請 使用 消毒 時撥 水層 暫時 失效 晾乾 後 是頭 好壯 壯 請 注意 洗潔 劑 清洗 口罩 口罩 報廢 賈 民生 博士 2020.03 07 桃園 歡迎 全文 轉貼 分享',RUMOR
'朋友 傳來 一個 好消息 拭目以待 震惊 十年 前 陈国生 先生 根据 易学 原理 中医 五运六气 理论 出版 书籍 里 提到 一段话 2019 年 12 月 26 日 凌晨 五点 爆发 瘟疫 2020 年 月 24 日 上午 十点 结束 陈国生 中国 地球物理 学会 天灾 预测 专业 委员会 委员 书名 实证化 中医 基础理论 运用 页码 92 页 预测 内容 2019 年 12 月 26 日 凌晨 五点 手 太阴 肺经 将 爆发 疫情 2020 年 月 24 日 上午 十点 结束',RUMOR
'太神 沒想到 每天 飯後 吃 三粒 高血壓 糖尿病 全不藥 愈 全家 越 吃 越 健康 真 後悔 這麼晚 知道 觀看 數 13466 人 降血糖 降血壓 降血脂 功效 主要 用於 治療 糖尿病 高血壓 高血脂 內分泌 失調 症 長期 服用 改善 身體 機能 提高 身體 免疫 功能 扶正 固體 活化 細胞 預防 老化 延緩 衰老 人體 大有益處 太神 沒想到 每天 飯後 吃 三粒 高血壓 糖尿病 全不藥 愈 全家 越 吃 越 健康 真 後悔 這麼晚 知道 觀看 數 13466 人 天果 學名 Fructus Swietenia Macrophylla 屬於 楝 科 植物 源 產於 南太平洋 最 潔淨 受 汙染 最少 索羅門 群島 產量 稀少 珍貴',RUMOR
